priority_rank,booking_id,hotel,arrival_date,total_nights,days_in_waiting_list,adr,risk_prob,risk_level,estimated_revenue,expected_realised_revenue
1804,46379,City Hotel,2015-12-30,5,79,67.0,0.9978,High,335.0,0.74
1805,46380,City Hotel,2015-12-30,5,79,67.0,0.9978,High,335.0,0.74
1806,46381,City Hotel,2015-12-30,5,79,67.0,0.9978,High,335.0,0.74
1807,46382,City Hotel,2015-12-30,5,79,67.0,0.9978,High,335.0,0.74
1808,46384,City Hotel,2015-12-30,5,79,67.0,0.9978,High,335.0,0.74
1809,46385,City Hotel,2015-12-30,5,79,67.0,0.9978,High,335.0,0.74
1810,46386,City Hotel,2015-12-30,5,79,67.0,0.9978,High,335.0,0.74
1811,46387,City Hotel,2015-12-30,5,79,67.0,0.9978,High,335.0,0.74
1812,62437,City Hotel,2017-01-14,1,16,75.0,0.9902,High,75.0,0.74
1813,68892,City Hotel,2017-05-22,2,33,128.0,0.9971,High,256.0,0.74
1814,68308,City Hotel,2017-05-15,3,60,160.0,0.9985,High,480.0,0.72
1815,66299,City Hotel,2017-04-16,3,46,100.0,0.9977,High,300.0,0.69
1816,66445,City Hotel,2017-04-20,3,18,85.0,0.9973,High,255.0,0.69
1817,59217,City Hotel,2016-10-22,4,20,80.75,0.9979,High,323.0,0.68
1818,59221,City Hotel,2016-10-22,4,20,89.25,0.9981,High,357.0,0.68
1819,64965,City Hotel,2017-03-21,3,43,85.0,0.9974,High,255.0,0.66
1820,67557,City Hotel,2017-05-04,3,27,100.0,0.9978,High,300.0,0.66
1821,69088,City Hotel,2017-05-25,3,34,115.0,0.9981,High,345.0,0.66
1822,70211,City Hotel,2017-06-12,2,34,110.0,0.997,High,220.0,0.66
1823,83094,City Hotel,2016-04-10,2,31,12.0,0.9727,High,24.0,0.66
1824,69816,City Hotel,2017-06-07,2,34,110.0,0.9972,High,220.0,0.62
1825,68340,City Hotel,2017-05-15,3,14,96.4,0.9979,High,289.20000000000005,0.61
1826,69060,City Hotel,2017-05-25,2,32,130.0,0.9977,High,260.0,0.6
1827,71796,City Hotel,2017-07-12,5,71,110.0,0.9989,High,550.0,0.6
1828,46402,City Hotel,2015-12-31,4,98,77.5,0.9981,High,310.0,0.59
1829,46403,City Hotel,2015-12-31,4,98,77.5,0.9981,High,310.0,0.59
1830,46404,City Hotel,2015-12-31,4,98,77.5,0.9981,High,310.0,0.59
1831,46405,City Hotel,2015-12-31,4,98,77.5,0.9981,High,310.0,0.59
1832,46406,City Hotel,2015-12-31,4,98,77.5,0.9981,High,310.0,0.59
1833,46407,City Hotel,2015-12-31,4,98,77.5,0.9981,High,310.0,0.59
1834,46408,City Hotel,2015-12-31,4,98,77.5,0.9981,High,310.0,0.59
1835,46409,City Hotel,2015-12-31,4,98,77.5,0.9981,High,310.0,0.59
1836,46410,City Hotel,2015-12-31,4,98,77.5,0.9981,High,310.0,0.59
1837,46411,City Hotel,2015-12-31,4,98,77.5,0.9981,High,310.0,0.59
1838,46413,City Hotel,2015-12-31,4,98,77.5,0.9981,High,310.0,0.59
1839,46414,City Hotel,2015-12-31,4,98,77.5,0.9981,High,310.0,0.59
1840,46415,City Hotel,2015-12-31,4,98,77.5,0.9981,High,310.0,0.59
1841,46416,City Hotel,2015-12-31,4,98,77.5,0.9981,High,310.0,0.59
1842,46418,City Hotel,2015-12-31,4,98,77.5,0.9981,High,310.0,0.59
1843,63127,City Hotel,2017-02-01,3,28,60.0,0.9967,High,180.0,0.59
1844,65319,City Hotel,2017-03-31,2,28,90.0,0.9967,High,180.0,0.59
1845,48526,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1846,48527,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1847,48528,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1848,48536,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1849,48538,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1850,48539,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1851,48540,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1852,48547,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1853,48548,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1854,48550,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1855,48554,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1856,48555,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1857,48556,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1858,48562,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1859,48563,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1860,48564,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1861,48565,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1862,48567,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1863,48568,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1864,48569,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1865,48572,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1866,48573,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1867,48582,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1868,48583,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1869,48584,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1870,48587,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1871,48590,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1872,48591,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1873,48592,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1874,48600,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1875,48601,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1876,48603,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1877,48604,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1878,48608,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1879,48609,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1880,48612,City Hotel,2016-03-25,3,101,130.0,0.9985,High,390.0,0.58
1881,57106,City Hotel,2016-09-19,1,8,136.0,0.9957,High,136.0,0.58
1882,70889,City Hotel,2017-06-24,3,26,130.0,0.9985,High,390.0,0.58
1883,59643,City Hotel,2016-10-30,2,193,105.0,0.9973,High,210.0,0.57
1884,67329,City Hotel,2017-05-01,4,39,130.0,0.9989,High,520.0,0.57
1885,11999,Resort Hotel,2017-06-08,5,5,66.0,0.9983,High,330.0,0.56
1886,61920,City Hotel,2016-12-28,6,76,76.67,0.9988,High,460.02,0.55
1887,62636,City Hotel,2017-01-18,3,16,65.0,0.9972,High,195.0,0.55
1888,66553,City Hotel,2017-04-21,3,28,90.0,0.998,High,270.0,0.54
1889,70901,City Hotel,2017-06-24,3,26,120.0,0.9985,High,360.0,0.54
1890,63671,City Hotel,2017-02-17,2,16,95.0,0.9972,High,190.0,0.53
1891,63747,City Hotel,2017-02-20,2,9,85.0,0.9969,High,170.0,0.53
1892,45979,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1893,45980,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1894,45981,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1895,45982,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1896,45984,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1897,45985,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1898,45986,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1899,45987,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1900,45989,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1901,45990,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1902,45991,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1903,45992,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1904,45993,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1905,45994,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1906,45995,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1907,45996,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1908,45998,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1909,45999,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1910,46000,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1911,46003,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1912,46004,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1913,46005,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1914,46006,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1915,46007,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1916,46008,City Hotel,2015-12-04,4,91,65.0,0.998,High,260.0,0.52
1917,46078,City Hotel,2015-12-09,2,57,75.0,0.9965,High,150.0,0.52
1918,46079,City Hotel,2015-12-09,2,57,75.0,0.9965,High,150.0,0.52
1919,46080,City Hotel,2015-12-09,2,57,75.0,0.9965,High,150.0,0.52
1920,46081,City Hotel,2015-12-09,2,57,75.0,0.9965,High,150.0,0.52
1921,46082,City Hotel,2015-12-09,2,57,75.0,0.9965,High,150.0,0.52
1922,46083,City Hotel,2015-12-09,2,57,75.0,0.9965,High,150.0,0.52
1923,46085,City Hotel,2015-12-09,2,57,75.0,0.9965,High,150.0,0.52
1924,46086,City Hotel,2015-12-09,2,57,75.0,0.9965,High,150.0,0.52
1925,46087,City Hotel,2015-12-09,2,57,75.0,0.9965,High,150.0,0.52
1926,46088,City Hotel,2015-12-09,2,57,75.0,0.9965,High,150.0,0.52
1927,46089,City Hotel,2015-12-09,2,57,75.0,0.9965,High,150.0,0.52
1928,46090,City Hotel,2015-12-09,2,57,75.0,0.9965,High,150.0,0.52
1929,46091,City Hotel,2015-12-09,2,57,75.0,0.9965,High,150.0,0.52
1930,46092,City Hotel,2015-12-09,2,57,75.0,0.9965,High,150.0,0.52
1931,46093,City Hotel,2015-12-09,2,57,75.0,0.9965,High,150.0,0.52
1932,46094,City Hotel,2015-12-09,2,57,75.0,0.9965,High,150.0,0.52
1933,46095,City Hotel,2015-12-09,2,57,75.0,0.9965,High,150.0,0.52
1934,46097,City Hotel,2015-12-09,2,57,75.0,0.9965,High,150.0,0.52
1935,46100,City Hotel,2015-12-09,2,57,75.0,0.9965,High,150.0,0.52
1936,46101,City Hotel,2015-12-09,2,57,75.0,0.9965,High,150.0,0.52
1937,66855,City Hotel,2017-04-26,2,30,130.0,0.998,High,260.0,0.52
1938,69271,City Hotel,2017-05-28,5,44,130.0,0.9992,High,650.0,0.52
1939,48537,City Hotel,2016-03-25,3,101,130.0,0.9987,High,390.0,0.51
1940,48574,City Hotel,2016-03-25,3,101,130.0,0.9987,High,390.0,0.51
1941,48599,City Hotel,2016-03-25,3,101,130.0,0.9987,High,390.0,0.51
1942,48611,City Hotel,2016-03-25,3,101,130.0,0.9987,High,390.0,0.51
1943,64665,City Hotel,2017-03-15,2,5,110.0,0.9977,High,220.0,0.51
1944,66511,City Hotel,2017-04-21,2,47,95.0,0.9973,High,190.0,0.51
1945,67434,City Hotel,2017-05-03,3,20,100.0,0.9983,High,300.0,0.51
1946,69586,City Hotel,2017-06-02,3,117,130.0,0.9987,High,390.0,0.51
1947,57108,City Hotel,2016-09-19,1,8,118.15,0.9958,High,118.15,0.5
1948,63754,City Hotel,2017-02-20,2,9,75.0,0.9967,High,150.0,0.49
1949,57103,City Hotel,2016-09-19,1,8,118.15,0.9959,High,118.15,0.48
1950,67030,City Hotel,2017-04-27,4,175,120.0,0.999,High,480.0,0.48
1951,69706,City Hotel,2017-06-04,4,57,120.0,0.999,High,480.0,0.48
1952,72316,City Hotel,2017-07-26,4,71,110.0,0.9989,High,440.0,0.48
1953,69903,City Hotel,2017-06-08,2,11,100.0,0.9977,High,200.0,0.46
1954,70807,City Hotel,2017-06-23,2,59,125.0,0.9982,High,250.0,0.45
1955,10473,Resort Hotel,2017-03-09,3,60,46.0,0.9968,High,138.0,0.44
1956,63855,City Hotel,2017-02-23,4,165,78.0,0.9986,High,312.0,0.44
1957,69485,City Hotel,2017-06-01,2,11,100.0,0.9978,High,200.0,0.44
1958,48989,City Hotel,2016-04-04,3,41,70.0,0.998,High,210.0,0.42
1959,48993,City Hotel,2016-04-04,3,41,70.0,0.998,High,210.0,0.42
1960,62937,City Hotel,2017-01-25,2,22,80.0,0.9974,High,160.0,0.42
1961,69878,City Hotel,2017-06-08,2,12,120.0,0.9983,High,240.0,0.41
1962,62837,City Hotel,2017-01-23,2,22,80.0,0.9975,High,160.0,0.4
1963,69565,City Hotel,2017-06-02,2,99,100.0,0.998,High,200.0,0.4
1964,44090,City Hotel,2015-09-30,2,21,108.0,0.9982,High,216.0,0.39
1965,44091,City Hotel,2015-09-30,2,21,108.0,0.9982,High,216.0,0.39
1966,44094,City Hotel,2015-09-30,2,21,108.0,0.9982,High,216.0,0.39
1967,44095,City Hotel,2015-09-30,2,21,108.0,0.9982,High,216.0,0.39
1968,44098,City Hotel,2015-09-30,2,21,108.0,0.9982,High,216.0,0.39
1969,44099,City Hotel,2015-09-30,2,21,108.0,0.9982,High,216.0,0.39
1970,44103,City Hotel,2015-09-30,2,21,108.0,0.9982,High,216.0,0.39
1971,44104,City Hotel,2015-09-30,2,21,108.0,0.9982,High,216.0,0.39
1972,44105,City Hotel,2015-09-30,2,21,108.0,0.9982,High,216.0,0.39
1973,44106,City Hotel,2015-09-30,2,21,108.0,0.9982,High,216.0,0.39
1974,44108,City Hotel,2015-09-30,2,21,108.0,0.9982,High,216.0,0.39
1975,44110,City Hotel,2015-09-30,2,21,108.0,0.9982,High,216.0,0.39
1976,44111,City Hotel,2015-09-30,2,21,108.0,0.9982,High,216.0,0.39
1977,44114,City Hotel,2015-09-30,2,21,108.0,0.9982,High,216.0,0.39
1978,44115,City Hotel,2015-09-30,2,21,108.0,0.9982,High,216.0,0.39
1979,44117,City Hotel,2015-09-30,2,21,108.0,0.9982,High,216.0,0.39
1980,44118,City Hotel,2015-09-30,2,21,108.0,0.9982,High,216.0,0.39
1981,44123,City Hotel,2015-09-30,2,21,108.0,0.9982,High,216.0,0.39
1982,44124,City Hotel,2015-09-30,2,21,108.0,0.9982,High,216.0,0.39
1983,44128,City Hotel,2015-09-30,2,21,108.0,0.9982,High,216.0,0.39
1984,44129,City Hotel,2015-09-30,2,21,108.0,0.9982,High,216.0,0.39
1985,44133,City Hotel,2015-09-30,2,21,108.0,0.9982,High,216.0,0.39
1986,52980,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
1987,52981,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
1988,52982,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
1989,52983,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
1990,52984,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
1991,52985,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
1992,52986,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
1993,52987,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
1994,52988,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
1995,52993,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
1996,52994,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
1997,52995,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
1998,52996,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
1999,52997,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2000,52998,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2001,52999,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2002,53000,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2003,53002,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2004,53003,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2005,53004,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2006,53005,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2007,53006,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2008,53007,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2009,53008,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2010,53009,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2011,53010,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2012,53011,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2013,53012,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2014,53013,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2015,53014,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2016,53015,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2017,53017,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2018,53018,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2019,53019,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2020,53022,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2021,53023,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2022,53024,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2023,53025,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2024,53026,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2025,53027,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2026,53028,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2027,53029,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2028,53034,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2029,53035,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2030,53036,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2031,53037,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2032,53038,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2033,53039,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2034,53040,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2035,53041,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2036,53042,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2037,53043,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2038,53044,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2039,53045,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2040,53046,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2041,53047,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2042,53048,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2043,53049,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2044,53050,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2045,53051,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2046,53052,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2047,53056,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2048,53057,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2049,53058,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2050,53059,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2051,53060,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2052,53061,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2053,53062,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2054,53063,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2055,53064,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2056,53065,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2057,53066,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2058,53067,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2059,53068,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2060,53069,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2061,53070,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2062,53071,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2063,53072,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2064,53073,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2065,53074,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2066,53079,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2067,53080,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2068,53081,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2069,53082,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2070,53083,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2071,53084,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2072,53085,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2073,53086,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2074,53087,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2075,53088,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2076,53089,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2077,53090,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2078,53091,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2079,53092,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2080,53093,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2081,53094,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2082,53095,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2083,53096,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2084,53097,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2085,53098,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2086,53099,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2087,53100,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2088,53101,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2089,53102,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2090,53103,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2091,53104,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2092,53105,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2093,53106,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2094,53112,City Hotel,2016-06-15,2,39,130.0,0.9985,High,260.0,0.39
2095,62624,City Hotel,2017-01-18,2,20,79.0,0.9975,High,158.0,0.39
2096,64639,City Hotel,2017-03-14,2,16,85.0,0.9977,High,170.0,0.39
2097,11827,Resort Hotel,2017-05-31,6,39,71.1,0.9991,High,426.6,0.38
2098,66692,City Hotel,2017-04-23,2,49,90.0,0.9979,High,180.0,0.38
2099,70958,City Hotel,2017-06-26,2,59,115.0,0.9984,High,230.0,0.37
2100,66836,City Hotel,2017-04-26,3,84,100.0,0.9988,High,300.0,0.36
2101,48530,City Hotel,2016-03-25,3,101,130.0,0.9991,High,390.0,0.35
2102,48549,City Hotel,2016-03-25,3,101,130.0,0.9991,High,390.0,0.35
2103,48575,City Hotel,2016-03-25,3,101,130.0,0.9991,High,390.0,0.35
2104,48605,City Hotel,2016-03-25,3,101,130.0,0.9991,High,390.0,0.35
2105,48606,City Hotel,2016-03-25,3,101,130.0,0.9991,High,390.0,0.35
2106,48610,City Hotel,2016-03-25,3,101,130.0,0.9991,High,390.0,0.35
2107,51655,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2108,51656,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2109,51657,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2110,51658,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2111,51659,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2112,51660,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2113,51661,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2114,51662,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2115,51663,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2116,51664,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2117,51665,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2118,51666,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2119,51667,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2120,51668,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2121,51669,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2122,51670,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2123,51671,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2124,51672,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2125,51673,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2126,51674,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2127,51675,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2128,51676,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2129,51677,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2130,51678,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2131,51679,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2132,51680,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2133,51681,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2134,51682,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
2135,51683,City Hotel,2016-05-24,2,31,130.0,0.9987,High,260.0,0.34
